t,agent_x,agent_y,goal_x,goal_y,subgoal_x,subgoal_y,waypoint_x,waypoint_y,new_high_command
326,28.39364890489497,13.321320909356235,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
327,28.258489180416873,13.403671005762819,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
328,28.07438014430924,13.391644302636362,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
329,27.85438716487995,13.30719938001732,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
330,27.66061722509533,13.237356027201235,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
331,27.458334646408264,13.1716522650212,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
332,27.278570885753282,13.192277130839615,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
333,27.072303618426172,13.300992046255317,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
334,26.901431253050426,13.385459460000453,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
335,26.759166942557954,13.428106283064913,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
336,26.626362745907635,13.410068440048601,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
337,26.47897547139232,13.363978716827555,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
338,26.296435221305394,13.333269977863845,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
339,26.10964114526741,13.329016933756023,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
340,25.916910080400555,13.357808029923584,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
341,25.720266291047174,13.401799961033216,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
342,25.5135812853735,13.424804263822354,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
343,25.311303387004735,13.409305635156047,0.0,32.0,-3.999998092651367,14.255319595336914,25.0,13.0,0
344,25.181355515315175,13.293227355231304,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
345,25.07475497712984,13.142406577824316,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
346,25.025766881824875,13.115008311488909,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
347,24.9990732814506,13.141238896338303,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
348,24.8991967466678,13.199555560042654,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
349,24.6975781843101,13.2372980230986,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
350,24.46176919959976,13.267933995236856,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
351,24.254451743952735,13.29701622424081,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
352,24.066583883289944,13.307628135521123,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
353,23.933977843275724,13.26537305512884,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
354,23.862425728624938,13.187356003468583,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
355,23.758437996864703,13.11112456127592,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
356,23.62234385132587,13.047841843368113,0.0,32.0,-3.999998092651367,14.255319595336914,23.0,13.0,0
357,23.43590192642135,13.103193638492597,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
358,23.264318879519465,13.16573122364075,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
359,23.166734531914667,13.199700858100407,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
360,23.126239332301243,13.216310954757635,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
361,23.093309614130895,13.241664067599352,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
362,22.995735718045047,13.225259674042128,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
363,22.839153472770267,13.155338825513088,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
364,22.67898669040321,13.118120050354161,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
365,22.497525258400053,13.084257753599445,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
366,22.210984539500107,13.138726861520116,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
367,21.944559899520897,13.189789265417053,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
368,21.75318250363243,13.18673155976812,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
369,21.566856608070193,13.162326563549168,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,13.0,0
370,21.390761572484774,13.085620271076735,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
371,21.229413828414128,13.004613579382703,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
372,21.157726465382087,12.971174933676163,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
373,21.118496646361464,12.97439508878743,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
374,21.141186554822305,13.020655985246641,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
375,21.192008741447843,13.0649980052485,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
376,21.208991692930077,13.100340997733413,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
377,21.095386432173875,13.131954777024948,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
378,21.009884404721113,13.216154296496667,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
379,20.935775782415945,13.365789768162877,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
380,20.895781570512398,13.514580331297855,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
381,20.900295485901065,13.645937745598586,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
382,20.972348901739007,13.73619831848284,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
383,21.09839126739997,13.813042343828785,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
384,21.141243556142285,13.909369742657736,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
385,21.04870934891887,14.048734950907148,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
386,20.962765938877816,14.210149106996992,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
387,20.883712342254125,14.414870128035734,0.0,32.0,-3.999998092651367,14.255319595336914,21.0,15.0,0
388,20.84784428645174,14.673961903788802,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
389,20.784300369586038,14.86568685928542,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
390,20.728825334851116,14.952673726604575,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
391,20.680132548434106,14.957383158966197,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
392,20.680004599870706,14.940387289047061,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
393,20.682439436776086,14.943316861495783,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
394,20.664088238472665,14.976937987551006,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
395,20.583931254240383,15.029842896318431,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
396,20.47459962483706,15.051109974112633,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
397,20.34086948389577,15.052619190688464,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
398,20.19504926692384,15.009935589475448,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
399,20.061485172943353,14.99957038727534,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
400,19.98232470497369,15.061549504839215,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
401,19.86104683024867,15.165670299071863,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
402,19.694604611553803,15.264474609229518,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
403,19.570280091776052,15.266607954315626,0.0,32.0,-3.999998092651367,14.255319595336914,19.0,15.0,0
404,19.47502673003586,15.131217273554318,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
405,19.38112702933254,15.010992412051191,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
406,19.28657939712594,14.908205074936992,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
407,19.161890907882306,14.848669940537658,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
408,18.97091638659526,14.928526367180154,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
409,18.766595102739988,15.029953859800258,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
410,18.56532600692652,15.094790893987655,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
411,18.37394445134034,15.120683637462324,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
412,18.20455748062431,15.050968279794706,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
413,18.033082975233473,14.965146153995711,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
414,17.853146254676677,14.903954822152718,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
415,17.659402005370275,14.857667379443992,0.0,32.0,-3.999998092651367,14.255319595336914,17.0,15.0,0
416,17.45179163966857,14.897483422529623,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
417,17.24331773899269,14.94497274997725,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
418,17.036470641150224,14.964147484691226,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
419,16.88221623958589,14.906252663438408,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
420,16.720685234724865,14.806298130994815,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
421,16.548314357008252,14.749959388146403,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
422,16.361404486699602,14.752103847427103,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
423,16.1413838802012,14.860581358587226,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
424,15.92654853447612,14.934152982499922,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
425,15.707595762496972,14.9849528925579,0.0,32.0,-3.999998092651367,14.255319595336914,15.0,15.0,0
426,15.479541577672439,14.986282458674726,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
427,15.273886988160092,14.88427912535984,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
428,15.086792101114382,14.835335034866276,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
429,14.919392558789925,14.8705925018294,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
430,14.702260715850853,14.944751918280275,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
431,14.472107125164353,14.990199600075071,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
432,14.2612408048379,15.01201430798986,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
433,14.093826626947454,14.976667564120861,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
434,13.930936167958468,14.943023596728677,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
435,13.761022288815365,14.918208703903252,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
436,13.56973359603114,14.902746116715937,0.0,32.0,-3.999998092651367,14.255319595336914,13.0,15.0,0
437,13.373653309879538,14.933318034248705,0.0,32.0,-3.999998092651367,14.255319595336914,11.0,15.0,0
438,13.122919642842293,15.081859197322618,0.0,32.0,-3.999998092651367,14.255319595336914,11.0,15.0,0
439,12.88240189353904,15.19473247241016,0.0,32.0,-3.999998092651367,14.255319595336914,11.0,15.0,0
440,12.674959476191406,15.220435142050821,0.0,32.0,-3.999998092651367,14.255319595336914,11.0,15.0,0
441,12.500543410312451,15.143934601694795,0.0,32.0,-3.999998092651367,14.255319595336914,11.0,15.0,0
442,12.310544812996179,15.062645541460979,0.0,32.0,-3.999998092651367,14.255319595336914,11.0,15.0,0
443,12.08385388374682,14.991410174913863,0.0,32.0,-3.999998092651367,14.255319595336914,11.0,15.0,0
444,11.824652763197573,14.94678010876512,0.0,32.0,-3.999998092651367,14.255319595336914,11.0,15.0,0
445,11.572933250813023,14.962405269145997,0.0,32.0,-3.999998092651367,14.255319595336914,11.0,15.0,0
446,11.397536740697271,15.014153360396117,0.0,32.0,-3.999998092651367,14.255319595336914,10.0,15.0,0
447,11.300735165162054,14.99682280913952,0.0,32.0,-3.999998092651367,14.255319595336914,10.0,15.0,0
448,11.205955011478677,14.949737586467334,0.0,32.0,-3.999998092651367,14.255319595336914,10.0,15.0,0
449,11.106057090416781,14.880997333410136,0.0,32.0,-3.999998092651367,14.255319595336914,10.0,15.0,0
450,10.996130104703884,14.844115805827775,0.0,32.0,-3.999998092651367,14.255319595336914,10.0,15.0,0
451,10.851485469916852,14.884956875418508,0.0,32.0,-3.999998092651367,14.255319595336914,10.0,15.0,0
452,10.64975910686034,14.955412002805835,0.0,32.0,-3.999998092651367,14.255319595336914,10.0,15.0,0
453,10.450009468778955,15.007112524274717,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,15.0,0
454,10.269048333959917,15.03697507373077,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,15.0,0
455,10.099561920008188,15.026569815529053,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,15.0,0
456,9.957194755145157,14.963269743174447,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,15.0,0
457,9.79654288669536,14.908253385891156,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,15.0,0
458,9.618682139945003,14.863959694364612,0.0,32.0,-3.999998092651367,14.255319595336914,9.0,15.0,0
459,9.398825135037887,14.824536272228936,0.0,32.0,-3.999998092651367,14.255319595336914,8.0,15.0,0
